kind,system,code,name,parent_code,level,is_leaf,is_total
exp,exp_druhove,0,VÝDAJE,,0,False,True
exp,exp_druhove,5,BĚŽNÉ VÝDAJE,0,1,False,False
exp,exp_druhove,6,KAPITÁLOVÉ,0,1,False,False
exp,exp_druhove,50,Výdaje na platy a,5,2,False,False
exp,exp_druhove,51,Výdaje na,5,2,False,False
exp,exp_druhove,52,Neinvestiční,5,2,False,False
exp,exp_druhove,53,Neinvestiční,5,2,False,False
exp,exp_druhove,54,Neinvestiční,5,2,False,False
exp,exp_druhove,55,Neinvestiční,5,2,False,False
exp,exp_druhove,57,Neinvestiční,5,2,False,False
exp,exp_druhove,58,Výdaje na,5,2,False,False
exp,exp_druhove,59,Ostatní,5,2,False,False
exp,exp_druhove,61,Investiční,6,2,False,False
exp,exp_druhove,62,Nákup,6,2,False,False
exp,exp_druhove,63,Investiční,6,2,False,False
exp,exp_druhove,64,Investiční,6,2,False,False
exp,exp_druhove,69,Ostatní,6,2,False,False
exp,exp_druhove,501,Platy,50,3,False,False
exp,exp_druhove,502,Výdaje na ostatní,50,3,False,False
exp,exp_druhove,503,Povinné a zákonné,50,3,True,False
exp,exp_druhove,504,Výdaje na odměny,50,3,True,False
exp,exp_druhove,505,Výdaje na platové a,50,3,True,False
exp,exp_druhove,506,Mzdy podle cizího,50,3,True,False
exp,exp_druhove,512,Výdaje na některé,51,3,True,False
exp,exp_druhove,513,Výdaje na nákup,51,3,True,False
exp,exp_druhove,514,Úroky a ostatní,51,3,True,False
exp,exp_druhove,515,Výdaje na nákup,51,3,True,False
exp,exp_druhove,516,Výdaje na nákup,51,3,True,False
exp,exp_druhove,517,Výdaje na ostatní,51,3,True,False
exp,exp_druhove,518,Výdaje na,51,3,True,False
exp,exp_druhove,519,Výdaje související s,51,3,True,False
exp,exp_druhove,521,Neinvestiční,52,3,True,False
exp,exp_druhove,522,Neinvestiční,52,3,True,False
exp,exp_druhove,531,Neinvestiční transfery,53,3,True,False
exp,exp_druhove,532,Neinvestiční transfery,53,3,True,False
exp,exp_druhove,533,Neinvestiční transfery,53,3,True,False
exp,exp_druhove,534,Neinvestiční,53,3,True,False
exp,exp_druhove,536,Ostatní,53,3,True,False
exp,exp_druhove,541,Sociální dávky,54,3,True,False
exp,exp_druhove,542,Náhrady placené,54,3,True,False
exp,exp_druhove,549,Ostatní neinvestiční,54,3,True,False
exp,exp_druhove,551,Neinvestiční,55,3,True,False
exp,exp_druhove,552,Neinvestiční,55,3,True,False
exp,exp_druhove,553,Ostatní,55,3,True,False
exp,exp_druhove,554,Členské příspěvky,55,3,True,False
exp,exp_druhove,571,Neinvestiční,57,3,True,False
exp,exp_druhove,581,Výdaje na náhrady,58,3,True,False
exp,exp_druhove,590,Ostatní neinvestiční,59,3,True,False
exp,exp_druhove,611,Pořízení,61,3,True,False
exp,exp_druhove,612,Pořízení,61,3,True,False
exp,exp_druhove,613,Pozemky,61,3,True,False
exp,exp_druhove,614,Nadlimitní věcná,61,3,True,False
exp,exp_druhove,620,Nákup,62,3,True,False
exp,exp_druhove,631,Investiční transfery,63,3,True,False
