year,kind,system,page_number,chapter_code,chapter_name,class_code,amount_czk
2026,rev,rev_druhove,3,315,Ministerstvo životního prostředí,133,114000000
2026,rev,rev_druhove,3,349,Energetický regulační úřad,122_123,100000000
2026,rev,rev_druhove,3,397,Operace státních finančních aktiv,133,2647000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,1111,153300000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,1112,14700000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,1113,26100000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,112,221500000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,113,1000000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,1211,415400000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,122_123,171200000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,132,800000000
2026,rev,rev_druhove,3,398,Všeobecná pokladní správa,133,500000000
2026,rev,rev_druhove,4,306,Ministerstvo zahraničních věcí,136,942476000
2026,rev,rev_druhove,4,307,Ministerstvo obrany,136,100000
2026,rev,rev_druhove,4,307,Ministerstvo obrany,161,8082934041
2026,rev,rev_druhove,4,308,Národní bezpečnostní úřad,136,300000
2026,rev,rev_druhove,4,312,Ministerstvo financí,135,31000000
2026,rev,rev_druhove,4,312,Ministerstvo financí,136,35800000
2026,rev,rev_druhove,4,312,Ministerstvo financí,161,962227689
2026,rev,rev_druhove,4,313,Ministerstvo práce a sociálních věcí,136,1000000
2026,rev,rev_druhove,4,313,Ministerstvo práce a sociálních věcí,161,852507452267
2026,rev,rev_druhove,4,313,Ministerstvo práce a sociálních věcí,162,537512274
2026,rev,rev_druhove,4,314,Ministerstvo vnitra,136,35000000
2026,rev,rev_druhove,4,314,Ministerstvo vnitra,161,12893836885
2026,rev,rev_druhove,4,315,Ministerstvo životního prostředí,135,51999999
2026,rev,rev_druhove,4,315,Ministerstvo životního prostředí,136,4500000
2026,rev,rev_druhove,4,317,Ministerstvo pro místní rozvoj,136,3000000
2026,rev,rev_druhove,4,322,Ministerstvo průmyslu a obchodu,135,123333333
2026,rev,rev_druhove,4,322,Ministerstvo průmyslu a obchodu,136,78000000
2026,rev,rev_druhove,4,327,Ministerstvo dopravy,136,225000000
2026,rev,rev_druhove,4,328,Český telekomunikační úřad,136,22000000
2026,rev,rev_druhove,4,329,Ministerstvo zemědělství,136,12000000
2026,rev,rev_druhove,4,333,"Ministerstvo školství, mládeže a tělovýchovy",136,1370000
2026,rev,rev_druhove,4,334,Ministerstvo kultury,136,40000
2026,rev,rev_druhove,4,335,Ministerstvo zdravotnictví,136,30000000
2026,rev,rev_druhove,4,336,Ministerstvo spravedlnosti,136,1234420000
2026,rev,rev_druhove,4,336,Ministerstvo spravedlnosti,161,1649699928
2026,rev,rev_druhove,4,344,Úřad průmyslového vlastnictví,136,78000000
2026,rev,rev_druhove,4,346,Český úřad zeměměřický a katastrální,136,1350000000
2026,rev,rev_druhove,4,348,Český báňský úřad,135,260000000
2026,rev,rev_druhove,4,348,Český báňský úřad,136,150000
2026,rev,rev_druhove,4,349,Energetický regulační úřad,136,3111800
2026,rev,rev_druhove,4,349,Energetický regulační úřad,137,463432000
2026,rev,rev_druhove,4,353,Úřad pro ochranu hospodářské soutěže,136,4100000
2026,rev,rev_druhove,4,364,Digitální a informační agentura,136,200000
2026,rev,rev_druhove,4,372,Rada pro rozhlasové a televizní vysílání,136,5000000
2026,rev,rev_druhove,4,375,Státní úřad pro jadernou bezpečnost,137,234961000
2026,rev,rev_druhove,4,376,Generální inspekce bezpečnostních sborů,161,85606562
2026,rev,rev_druhove,4,398,Všeobecná pokladní správa,138,18500000000
2026,rev,rev_druhove,4,398,Všeobecná pokladní správa,140,400000
2026,rev,rev_druhove,5,301,Kancelář prezidenta republiky,211,100000
2026,rev,rev_druhove,5,302,Poslanecká sněmovna Parlamentu,211,7000000
2026,rev,rev_druhove,5,302,Poslanecká sněmovna Parlamentu,213,1300000
2026,rev,rev_druhove,5,303,Senát Parlamentu,211,2500000
2026,rev,rev_druhove,5,303,Senát Parlamentu,213,900000
2026,rev,rev_druhove,5,304,Úřad vlády České republiky,211,400000
