Kód,Kapitola,Příjmy,Výdaje,Saldo
301,Kancelář prezidenta republiky,100000,461449015,-461349015
302,Poslanecká sněmovna Parlamentu,9000000,1769368192,-1760368192
303,Senát Parlamentu,3400000,754646420,-751246420
304,Úřad vlády České republiky,123631087,1527732339,-1404101252
305,Bezpečnostní informační služba,305000000,2897829858,-2592829858
306,Ministerstvo zahraničních věcí,1192600545,10787413237,-9594812692
307,Ministerstvo obrany,8634843041,175794357851,-167159514810
308,Národní bezpečnostní úřad,850000,489465332,-488615332
309,Kancelář veřejného ochránce práv a ochránce práv dětí,250000,222650044,-222400044
312,Ministerstvo financí,10629406209,28752923817,-18123517608
313,Ministerstvo práce a sociálních věcí,871534784682,994070218688,-122535434006
314,Ministerstvo vnitra,21067146426,123355014085,-102287867659
315,Ministerstvo životního prostředí,17028631712,20960424763,-3931793051
317,Ministerstvo pro místní rozvoj,18832358735,24902941746,-6070583011
321,Grantová agentura České republiky,0,4865277581,-4865277581
322,Ministerstvo průmyslu a obchodu,20536660043,66508087295,-45971427252
327,Ministerstvo dopravy,28569178488,128699433827,-100130255339
328,Český telekomunikační úřad,1111860240,3433493695,-2321633455
329,Ministerstvo zemědělství,35347783310,54951036186,-19603252876
333,"Ministerstvo školství, mládeže a tělovýchovy",15431828936,281730944743,-266299115807
334,Ministerstvo kultury,555672191,18777591128,-18221918937
335,Ministerstvo zdravotnictví,2057776874,13119422851,-11061645977
336,Ministerstvo spravedlnosti,4258479890,40470187994,-36211708104
343,Úřad pro ochranu osobních údajů,0,209527532,-209527532
344,Úřad průmyslového vlastnictví,292222051,250575326,41646725
345,Český statistický úřad,36550658,1149021658,-1112471000
346,Český úřad zeměměřický a katastrální,1670000000,4521772330,-2851772330
348,Český báňský úřad,262381000,221519132,40861868
349,Energetický regulační úřad,566643800,410210271,156433529
353,Úřad pro ochranu hospodářské soutěže,14100000,333422596,-319322596
355,Ústav pro studium totalitních režimů,0,237629983,-237629983
358,Ústavní soud,0,248779303,-248779303
359,Úřad Národní rozpočtové rady,0,27147351,-27147351
361,Akademie věd České republiky,97610,8054901456,-8054803846
362,Národní sportovní agentura,13000000,8260235407,-8247235407
364,Digitální a informační agentura,91616883,2069882281,-1978265398
371,Úřad pro dohled nad hospodařením polit. stran a polit. hnutí,35000,41946838,-41911838
372,Rada pro rozhlasové a televizní vysílání,5000000,84096058,-79096058
374,Správa státních hmotných rezerv,40000000,5301023760,-5261023760
375,Státní úřad pro jadernou bezpečnost,236161000,603153061,-366992061
376,Generální inspekce bezpečnostních sborů,86486562,614702007,-528215445
377,Technologická agentura České republiky,616257131,6258025150,-5641768019
378,Národní úřad pro kybernetickou a informační bezpečnost,62604403,923353199,-860748796
381,Nejvyšší kontrolní úřad,964000,690042574,-689078574
396,Státní dluh,0,109966880286,-109966880286
397,Operace státních finančních aktiv,4608500000,10000000,4598500000
398,Všeobecná pokladní správa,1056838775800,258882880061,797955895739
,Celkem,2122672638307,2408672638307,-286000000000
